2000210,"*CLOTH SET, TCLEAN 2-PC MICROFIBRE (PINK",SKU-001,SKU-001,1000,01/01/2013,15/01/2013
1203060,"*SOAP, WHT RESULT GLUTA +EXFOLIATING SCR",SKU-002,SKU-002,1000,01/01/2013,05/01/2013
1203083,"SOAP, WR 90G GLUTA EXF. SCRUBS",SKU-002,SKU-002,1000,01/01/2013,05/01/2013
1371028,"ROD, WR 40ML POWDER (REDESIGN)",SKU-002,SKU-002,1000,01/01/2013,05/01/2013
130113,SILVER POUCH,SKU-003,SKU-003,1000,01/01/2013,05/01/2013
1203060,"*SOAP, WHT RESULT GLUTA +EXFOLIATING SCR",SKU-003,SKU-003,1000,01/01/2013,05/01/2013
1203083,"SOAP, WR 90G GLUTA EXF. SCRUBS",SKU-003,SKU-003,1000,01/01/2013,05/01/2013
1371028,"ROD, WR 40ML POWDER (REDESIGN)",SKU-003,SKU-003,SKU-003,1000,01/01/2013,05/01/2013
50399,SS SQUARE #2 2.6L WATER SNW WHT/CRNBERRY,PLINE-001,0023,4,16/01/2013,31/01/2013
50399,SS SQUARE #2 2.6L WATER SNW WHT/CRNBERRY,PLINE-002,0023,4,16/01/2013,31/01/2013
50398,SS SQUARE #1 1.2L WATER SNW WHT/CRNBERRY,PLINE-002,0023,4,16/01/2013,31/01/2013
50399,SS SQUARE #2 2.6L WATER SNW WHT/CRNBERRY,PLINE-002,0023,4,16/01/2013,31/01/2013
50400,SS SQUARE #3 4.0L WATER SNW WHT/CRNBRRY,PLINE-002,0023,4,16/01/2013,31/01/2013
130138,OVERNIGHT BAG (LIPS DESIGN),SKU-004,SKU-004,2,16/01/2013,31/01/2013
1203082,"SOAP, WR 90G GLUTA PLACENTA",PLINE-001,0006,20,01/01/2013,31/01/2013
1203064,"*PLACENTA CREAM, WHT RESULT 30G",PLINE-001,0006,20,01/01/2013,31/01/2013
130139,SLEEPER MAT,PLINE-002,0006,50,01/01/2013,31/01/2013
