,promocode,criteria,start date,end date,min value,points,Brand,form ,style,pmg,pline,sku
13-Jan,SKU-001,S-QTY,1/1/2013,15/01/2013,4,1,,,,,,2000208
13-Jan,SKU-002,S-QTY,1/1/2013,5/1/2013,3,1,,,,,,1203063
13-Jan,SKU-003,S-QTY,1/1/2013,5/1/2013,6,1,,,,,,1203063
13-Jan,PLINE-001,S-AMT,16/01/2013,31/01/2013,3000,1,,,,,23, 
13-Jan,PLINE,S-AMT,16/01/2013,31/01/2013,6000,1,,,,,23, 
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400186
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400187
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400188
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400207
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400208
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400209
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400210
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400169
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400170
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400171
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400172
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400173
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400174
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400175
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400176
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400177
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400178
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400179
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400180
13-Jan,SKU-004,S-AMT,16/01/2013,31/01/2013,1300,1,,,,,,1400193
13-Jan,PLINE,C-AMT,1/1/2013,31/01/2013,2000,20,,,,,6, 
13-Jan,PLINE,C-AMT,1/1/2013,31/01/2013,2000,20,,,,,6, 
13-Jan,PLINE,C-AMT,1/1/2013,31/01/2013,5000,50,Hanes,,,,6, 
,,,,,,,,,,,, 
